,0,1,2,3,4,5,6,7
[1. 1. 2. 7. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 8. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 8. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 9. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 9. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  1.  2. 10.  0.  0.  0.  0.  1.  1.  0.  1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  1.  2. 10.  0.  0.  0.  0.  1.  1.  0.  0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  1.  2. 11.  0.  0.  0.  0.  1.  1.  0.  1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  1.  2. 11.  0.  0.  0.  0.  1.  1.  0.  0.],0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  1.  2. 11.  0.  0.  0.  0.  1.  1.  1.  1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 0. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 1. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 3. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 4. 0. 0. 0. 0. 1. 1. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  1.  2. 11.  0.  0.  0.  0.  1.  1.  1.  0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],-0.03883706516303562,-0.019423297176607384,0.0,0.0,0.0,0.0,0.0,0.0
